angDist,JNAME,ra,dec,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,_RAJ2000,_DEJ2000
2.485476,J030034.46+450834.1,45.143611,+45.142825,0.069,0.064,34,8.312,8.420,8.308,8.291,9.268,8.589,8.389,0.023,0.020,0.022,0.232,0.021,0.018,0.014,447145401241015012,0000,0,110n,AAAB,0.082,45.1435119626543,0.4132995639739
4.436218,J025945.24+445619.8,44.938528,+44.938856,0.216,0.193,125,14.878,15.044,12.667,8.895,15.280,14.803,14.670,0.039,0.095,,,0.056,0.074,0.090,447145401241004920,0000,0,nnnn,AAUU,0.375,44.9377524361843,0.6245069017008
4.966273,J030049.55+451219.5,45.206474,+45.205417,0.914,0.834,124,17.043,16.109,12.218,9.219,,,,0.160,0.253,,,,,,447145401241016230,0000,0,nnnn,BBUU,,45.2067797117624,1.0052278060706
4.780242,J025916.51+444910.0,44.818802,+44.819468,0.141,0.136,130,13.888,13.975,12.012,8.865,14.270,13.883,13.776,0.030,0.050,,,0.029,0.033,0.043,447145401241004135,0000,0,11nn,AAUU,0.043,44.8202815315946,0.9147573138913
3.811625,J030403.95+460105.9,46.016478,+46.018324,0.214,0.201,123,14.948,15.038,12.543,8.858,15.877,15.167,14.993,0.040,0.097,,,0.072,0.086,0.107,468145401241047025,0000,0,01nn,AAUU,0.342,46.0176352207501,1.0877155274006
3.516497,J030111.51+451758.8,45.297996,+45.299689,0.185,0.174,132,14.770,15.003,12.844,9.267,15.515,15.093,14.738,0.035,0.098,,,,,0.095,447145401241021324,0000,0,00nn,AAUU,0.081,45.2990685648368,1.0526553553936
3.483850,J025710.75+441735.4,44.294829,+44.293188,1.553,1.369,113,18.070,16.905,11.786,8.698,,,,0.486,,0.215,,,,,436143901241036485,0000,0,nnnn,CUBU,,44.2936172663415,1.2202648559466
4.005938,J025719.83+442002.3,44.332638,+44.333984,0.376,0.334,121,15.601,15.807,12.060,8.815,16.443,15.877,15.683,0.063,0.226,,,0.114,0.182,,436143901241035378,0000,0,1nnn,ABUU,0.183,44.3328853444859,1.2865399516484
2.182800,J025652.19+441305.6,44.217467,+44.218223,0.111,0.107,154,13.205,13.230,11.630,9.312,14.155,13.471,13.300,0.027,0.033,0.175,,0.026,0.030,0.039,436143901241034915,0000,0,00nn,AABU,0.066,44.2183055016422,1.4033575867209
4.486430,J025726.03+442131.2,44.358489,+44.358669,0.435,0.402,126,15.960,15.607,12.079,8.966,16.309,16.053,15.427,0.076,0.185,0.287,,0.098,0.199,,436143901241037637,0000,0,0nnn,ABBU,0.289,44.3575978987996,1.5463947698358
1.477692,J025951.95+445800.3,44.966488,+44.966777,0.294,0.266,122,15.494,15.556,12.738,9.203,16.113,15.372,15.217,0.050,0.149,,,0.105,0.112,0.144,447145401241016407,0000,0,0nnn,ABUU,0.304,44.9669868582768,1.762639044447
4.371608,J030112.96+451814.0,45.304032,+45.303912,0.840,0.768,115,16.814,16.661,12.388,8.589,,,,0.133,,,,,,,447145401241022057,0000,0,2nnn,BUUU,,45.3029599557824,1.6704403389076
4.478140,J030149.14+452724.6,45.454756,+45.456845,0.083,0.080,15,11.614,11.605,11.964,9.029,12.052,11.831,11.677,0.023,0.024,0.282,,,,0.019,447145401241019142,0000,0,00nn,AABU,0.080,45.4558856927519,1.751841419363
4.675357,J025915.45+444844.1,44.814380,+44.812277,0.195,0.185,122,14.551,14.752,12.192,8.756,14.829,14.564,14.313,0.038,0.086,,,0.032,0.054,0.070,447145401241004251,0000,0,00nn,AAUU,0.015,44.8126113821651,1.7403056502849
3.828229,J025929.24+445212.6,44.871867,+44.870187,0.428,0.389,114,15.735,16.395,12.430,9.022,16.118,15.687,15.396,0.069,0.326,,,0.078,0.157,0.168,447145401241004600,0000,0,1nnn,ABUU,0.459,44.8711017929551,2.1682247039403
4.785472,J030601.08+463010.5,46.504533,+46.502934,0.160,0.155,137,14.169,14.038,12.176,8.757,15.762,15.229,14.765,0.034,0.052,0.328,,0.071,0.087,0.096,458146901241018422,0000,1,00nn,AABU,2.428,46.5026474615634,1.4390650300356
3.533517,J030458.32+461430.8,46.243028,+46.241907,0.401,0.368,125,15.753,16.371,12.617,8.543,16.531,15.735,15.675,0.065,0.351,,,0.133,0.124,0.164,458146901241003095,0000,0,0nnn,ABUU,0.026,46.2428836890466,1.4695680682184
3.637964,J030520.64+462003.5,46.336009,+46.334309,0.407,0.378,127,15.900,15.697,12.519,9.180,16.080,15.909,15.495,0.070,0.164,,,0.081,0.141,0.165,458146901241003048,0000,0,1nnn,ABUU,0.362,46.3346126288473,1.4712210658773
