angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000
2.552659,J030034.46+450834.1,45.1436086,+45.1428062,0.0354,0.0336,22.1,8.318,8.420,8.315,8.586,9.268,8.589,8.389,0.022,0.021,0.024,0.359,0.021,0.018,0.014,447145401351018543,0000,0,110n,AAAC,22,38,-17,36,0.042,45.1435119626543,0.4132995639739
3.097385,J030104.91+451617.6,45.2704601,+45.2715691,0.2931,0.2742,122.6,16.812,16.789,12.263,8.847,,,,0.094,0.302,,,,,,447145401351020285,0000,0,0nnn,ABUU,-571,1222,335,1266,,45.2707298955371,0.6222620396294
4.289781,J025945.24+445619.7,44.9385152,+44.9388147,0.0827,0.0783,126.5,14.832,15.051,12.634,8.693,15.280,14.803,14.670,0.034,0.068,,,0.056,0.074,0.090,447145401351006338,hh00,0,00nn,AAUU,19,213,275,221,0.333,44.9377524361843,0.6245069017008
4.901400,J030049.56+451219.5,45.2065263,+45.2054300,0.2045,0.1898,126.3,16.387,15.861,11.828,8.939,,,,0.069,0.146,,,,,,447145401351019596,0000,0,0nnn,ABUU,159,775,153,797,,45.2067797117624,1.0052278060706
4.798532,J025916.51+444910.0,44.8188030,+44.8194589,0.0549,0.0535,135.0,13.831,13.854,12.501,8.889,14.270,13.883,13.776,0.026,0.036,,,0.029,0.033,0.043,447145401351004961,0000,0,00nn,AAUU,-65,99,51,103,0.059,44.8202815315946,0.9147573138913
3.851815,J030403.95+460106.0,46.0164989,+46.0183578,0.0872,0.0826,117.9,14.900,15.073,12.586,8.990,15.877,15.167,14.993,0.034,0.076,,,0.072,0.086,0.107,468145401351058750,0000,0,00nn,AAUU,150,221,540,231,0.218,46.0176352207501,1.0877155274006
3.607351,J030111.51+451758.9,45.2979658,+45.2997029,0.0790,0.0747,133.7,14.767,14.870,12.611,9.136,15.515,15.093,14.738,0.094,0.066,,,,,0.095,447145401351026150,0000,0,00nn,AAUU,-254,184,458,193,0.158,45.2990685648368,1.0526553553936
3.357225,J025544.29+435603.9,43.9345629,+43.9344295,0.4539,0.4100,124.4,17.203,16.978,12.648,8.883,,,,0.139,,,,,,,436143901351028509,0000,0,nnnn,BUUU,2958,1767,3358,1799,,43.9337209722325,0.9259677611923
4.728980,J025710.80+441733.9,44.2950253,+44.2927748,0.5157,0.4558,114.0,17.334,17.289,11.994,8.346,,,,0.161,0.525,,,,,,436143901351047071,0000,0,nnnn,BCUU,719,2086,-194,2172,,44.2936172663415,1.2202648559466
3.966286,J025719.82+442002.2,44.3326064,+44.3339689,0.1244,0.1120,114.8,15.494,15.682,12.577,8.697,16.443,15.877,15.683,0.044,0.136,,,0.114,0.182,,436143901351045871,0000,0,0nnn,ABUU,-343,358,178,385,0.100,44.3328853444859,1.2865399516484
