angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,IRS?,TYC,WISEA,Simbad
0.080603,J000420.33-291607.7,1.0847269,-29.2688210,0.0328,0.0321,31.1,6.212,6.140,6.223,5.727,6.277,6.252,6.259,0.085,0.027,0.014,0.047,0.019,0.031,0.017,17028801351010974,0000,0,0110,AAAA,179,37,78,36,0.370,1.0847083,-29.2688056,HR 9102,,00 04 20.33,-29 16 07.7,A0V,8820,2.58,200,11.6,70,95.53,1.37,124.84,,N,TYC,WISEA,Simbad
0.080411,J000552.64-414511.7,1.4693419,-41.7532714,0.0359,0.0349,56.1,6.073,5.977,6.106,5.953,6.464,6.189,6.117,0.109,0.037,0.015,0.041,0.020,0.023,0.020,20042501351060901,0000,0,0000,AAAA,176,38,79,37,1.294,1.4693333,-41.75325,HD 105,,00 05 52.64,-41 45 11.7,G0V,6070,1.01,390,0.5,50,34.66,4.53,39.38,,Y,TYC,WISEA,Simbad
0.044862,J000637.12+290115.4,1.6546960,+29.0209507,0.0493,0.0436,125.7,4.271,3.844,4.330,4.126,,,,0.281,0.149,0.014,0.025,,,,17128701351042369,0000,1,0230,BBAA,2117,49,-502,50,,1.6547083,29.0209444,HD 166,,00 06 37.13,+29 01 15.4,K0V,5700,0.78,300,0.6,70,12.1,3.56,13.67,,Y,TYC,WISEA,Simbad
0.060108,J000650.16-230627.4,1.7090315,-23.1076249,0.0457,0.0444,81.6,5.127,5.019,5.233,4.514,5.451,5.331,5.240,0.211,0.074,0.015,0.025,0.024,0.047,0.024,16022801351018913,0000,0,0000,BAAA,563,51,348,51,1.170,1.7090417,-23.1076111,HD 203,,00 06 50.17,-23 06 27.4,F3V,6710,1.48,160,6.0,,,1.69,39.38,,Y,TYC,WISEA,Simbad
0.054758,J000825.80+063700.5,2.1075133,+6.6168131,0.0381,0.0364,43.3,6.092,6.026,6.101,5.741,6.422,6.149,6.116,0.113,0.041,0.015,0.044,0.021,0.021,0.021,15106001351051344,0000,0,0000,BAAA,170,45,-7,43,0.953,2.1075,6.6168056,HD 377,b,00 08 25.80,+06 37 00.5,G2V,5910,1.03,200,2.1,60,23.44,5.31,39.07,,Y,TYC,WISEA,Simbad
0.092332,J001819.60+364706.4,4.5816814,+36.7851339,0.0485,0.0463,80.8,4.315,4.072,4.355,4.144,4.345,4.421,4.464,0.302,0.138,0.014,0.021,0.270,0.180,0.290,37136301351049135,0000,0,0100,BBAA,-74,32,140,34,0.986,4.5816667,36.7851111,sig And,,00 18 19.60,+36 47 06.4,A2V,8780,2.0,155,14.9,,,0.19,41.32,,Y,TYC,WISEA,Simbad
0.063376,J001826.27-632839.6,4.6094706,-63.4776834,0.0346,0.0332,51.2,6.173,6.015,6.138,5.746,6.462,6.248,6.149,0.092,0.035,0.015,0.035,0.018,0.036,0.017,33063701351026398,0000,0,2000,AAAA,188,31,269,31,1.213,4.6094583,-63.4776667,HD 1466,,00 18 26.27,-63 28 39.6,F8V,6140,1.06,140,4.7,,,1.68,41.54,,Y,TYC,WISEA,Simbad
0.010090,J001842.16-080312.4,4.6757058,-8.0534457,0.0506,0.0465,114.3,4.831,4.515,4.934,4.831,,,,0.236,0.119,0.015,0.031,,,,45007601351005138,0000,0,0100,BBAA,4563,42,3354,92,,4.6757083,-8.0534444,HD 1461,,00 18 42.17,-08 03 12.4,G3V,5880,1.07,65,20.5,,,0.5,23.24,,Y,TYC,WISEA,Simbad
4.226572,J002252.07-121233.3,5.7169824,-12.2092614,0.0496,0.0454,118.1,4.753,4.569,4.878,4.763,,,,0.235,0.117,0.014,0.027,,,,61012201351034419,0000,0,0000,BBAA,452,56,-156,58,,5.7157917,-12.2094167,9 Cet,,00 22 51.79,-12 12 33.9,G3V,5920,0.95,40,48.5,,,0.09,20.86,,Y,TYC,WISEA,Simbad
0.024632,J002612.32-434046.7,6.5513366,-43.6796453,0.0767,0.0575,168.9,3.534,3.056,3.601,3.413,3.739,3.585,3.590,0.405,0.480,0.024,0.020,0.286,0.222,0.292,62044001351048213,HHH0,0,nnn0,CCAA,798,38,1240,56,1.589,6.5513333,-43.6796389,kap Phe,,00 26 12.32,-43 40 46.7,A5IV,8010,1.76,170,9.0,,,0.18,23.8,,Y,TYC,WISEA,Simbad
1.389735,J003125.11-484812.3,7.8546582,-48.8034250,0.0593,0.0508,116.5,4.593,4.231,4.724,4.508,4.668,4.771,4.700,0.268,0.127,0.016,0.032,0.037,0.071,0.027,67048501351023986,0000,0,11n1,BBAA,-498,64,-20,69,1.444,7.8540833,-48.8035,HD 2834,,00 31 24.98,-48 48 12.6,A1V,8950,2.24,95,46.3,,,0.17,52.96,,Y,TYC,WISEA,Simbad
0.536655,J003146.41+543119.9,7.9433904,+54.5222045,0.0451,0.0433,74.2,4.948,4.793,5.025,4.831,5.321,4.929,4.903,0.215,0.078,0.015,0.025,0.324,0.047,0.020,76154501351028378,0000,0,0200,BAAA,49,32,-27,32,0.663,7.9431667,54.5222778,HD 2772,,00 31 46.36,+54 31 20.2,B8V,12230,3.5,400,7.6,35,995.02,2.29,115.74,,N,TYC,WISEA,Simbad
0.085086,J003244.03-630153.8,8.1834655,-63.0316345,0.0472,0.0450,142.9,4.978,4.721,4.852,3.775,5.061,5.156,4.985,0.222,0.101,0.015,0.024,0.037,0.076,0.020,66063701351053440,0000,0,0211,BAAA,-175,36,282,36,0.973,8.1834583,-63.0316111,bet03 Tuc,,00 32 44.03,-63 01 53.8,A0V,9050,1.63,300,3.4,150,13.85,2.73,45.55,,Y,TYC,WISEA,Simbad
0.086949,J003427.12-063014.9,8.6130091,-6.5041613,0.0421,0.0403,53.1,5.731,5.610,5.781,5.579,6.035,5.846,5.753,0.155,0.045,0.016,0.041,0.027,0.055,0.023,91006101351012726,0000,0,0211,BAAA,447,49,583,48,1.261,8.613,-6.5041389,HD 3126,,00 34 27.12,-06 30 14.9,F4V,6380,1.23,200,2.9,45,57.84,1.91,40.91,,Y,TYC,WISEA,Simbad
0.100477,J003602.02-053415.6,9.0084442,-5.5710241,0.0410,0.0400,122.9,5.581,5.454,5.623,5.567,,,,0.186,0.054,0.015,0.041,,,,91006101351056782,0000,0,0300,BAAA,850,49,82,47,,9.0084583,-5.571,HD 3296,,00 36 02.03,-05 34 15.6,:F5,6450,1.46,60,39.2,,,0.23,45.04,,Y,TYC,WISEA,Simbad
0.026915,J003856.77-523203.6,9.7365716,-52.5343355,0.0334,0.0324,50.5,6.979,7.079,7.079,6.838,7.341,7.149,7.103,0.052,0.020,0.016,0.073,0.020,0.042,0.021,98053101351059148,0000,0,0000,AAAA,143,51,86,57,0.887,9.7365833,-52.5343333,HD 3670,,00 38 56.78,-52 32 03.6,F5V,6440,1.35,290,1.5,55,43.12,6.47,83.12,a,Y,TYC,WISEA,Simbad
2.017367,J004858.70+165624.2,12.2446030,+16.9400789,0.0501,0.0464,104.3,3.817,3.542,3.843,3.781,4.433,4.152,4.182,0.406,0.270,0.015,0.023,0.260,0.242,0.262,125116601351040582,0000,0,0110,CBAA,-182,65,-65,72,2.413,12.244625,16.9406389,64 Psc,,00 48 58.71,+16 56 26.3,F8V,6570,1.52,300,1.7,,,1.38,23.45,,N,TYC,WISEA,Simbad
0.081031,J005435.23+191118.0,13.6468071,+19.1883505,0.0380,0.0364,37.6,5.801,5.734,5.825,5.454,5.743,5.802,5.796,0.132,0.044,0.015,0.035,0.019,0.020,0.020,144119601351009774,0000,0,0100,BAAA,0,30,103,29,0.241,13.6467917,19.1883333,66 Psc,,00 54 35.23,+19 11 18.0,A1Vn,9340,2.7,250,8.7,35,447.82,2.2,108.1,,Y,TYC,WISEA,Simbad
0.170484,J010425.29+311827.8,16.1053771,+31.3077275,0.0328,0.0310,23.0,7.751,7.840,7.601,6.949,8.361,7.940,7.829,0.029,0.020,0.018,0.074,0.019,0.020,0.018,158131801351002491,0000,0,0000,AAAA,-65,60,-2,34,0.476,16.1054167,31.3076944,TYC2278-834-1,,01 04 25.30,+31 18 27.7,:K0,5310,0.78,260,0.7,,,6.19,62.89,a,N,TYC,WISEA,Simbad
