angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,IRS?,TYC,WISEA,Simbad
0.177977,1.0846553906281,-29.2688233161899,0.002,0.001,90,2320998853585525632,1.08479653197,0.0797,-29.26880860752,0.0419,7.4367,0.0838,28.596,0.118,3.416,0.088,0,5.40766e+07,1.68963e+04,6.355842,3.86327e+07,3.49336e+04,6.383999,2.34074e+07,8.46701e+04,6.338536,0.045464,,,0,9189.00,0.3453,0.1677,,,1.0847083,-29.2688056,HR 9102,,00 04 20.33,-29 16 07.7,A0V,8820,2.58,200,11.6,70,95.53,1.37,124.84,,N,TYC,WISEA,Simbad
1.248748,1.4689371973776,-41.7530683378903,0.001,0.001,90,4995853014646189696,1.46950132518,0.0387,-41.75339738742,0.0317,25.7429,0.0558,97.746,0.055,-76.424,0.053,0,2.09904e+07,1.26537e+04,7.383312,1.14474e+07,2.89950e+04,7.704619,1.34052e+07,2.29092e+04,6.943739,0.760880,2.24,0.24,11,5940.00,0.0515,0.0223,1.05,1.240,1.4693333,-41.75325,HD 105,,00 05 52.64,-41 45 11.7,G0V,6070,1.01,390,0.5,50,34.66,4.53,39.38,,Y,TYC,WISEA,Simbad
4.962529,1.6532670598356,29.0215028861412,0.001,0.001,90,2860924621205256704,1.65513854048,0.0368,29.02073835347,0.0237,72.5764,0.0498,380.092,0.060,-177.573,0.037,0,8.53046e+07,5.09635e+04,5.860935,4.30828e+07,9.90128e+04,6.265629,5.79683e+07,1.38214e+05,5.353943,0.911686,-6.59,0.13,27,5551.50,0.0250,0.0115,0.87,0.651,1.6547083,29.0209444,HD 166,,00 06 37.13,+29 01 15.4,K0V,5700,0.78,300,0.6,70,12.1,3.56,13.67,,Y,TYC,WISEA,Simbad
1.179000,1.7086938864343,-23.1075409941581,0.002,0.001,90,2337191189529102336,1.70914690740,0.0538,-23.10774387686,0.0347,25.0249,0.0615,96.776,0.138,-47.121,0.068,0,6.97315e+07,2.95731e+04,6.079794,4.17930e+07,1.09006e+05,6.298628,3.93434e+07,9.85123e+04,5.774741,0.523888,,,0,6830.00,0.2630,0.1515,1.48,4.312,1.7090417,-23.1076111,HD 203,,00 06 50.17,-23 06 27.4,F3V,6710,1.48,160,6.0,,,1.69,39.38,,Y,TYC,WISEA,Simbad
0.810508,2.1072733739216,6.6168022729561,0.002,0.001,90,2745647973856851712,2.10765210722,0.0549,6.61679478704,0.0477,25.9585,0.0582,87.378,0.132,-1.739,0.088,0,2.00069e+07,9.31266e+03,7.435418,1.07394e+07,1.72585e+04,7.773936,1.29442e+07,1.75312e+04,6.981730,0.792207,0.92,0.22,17,5871.00,0.0600,0.0267,1.04,1.166,2.1075,6.6168056,HD 377,b,00 08 25.80,+06 37 00.5,G2V,5910,1.03,200,2.1,60,23.44,5.31,39.07,,Y,TYC,WISEA,Simbad
0.815177,4.5819068199827,36.7852306469642,0.012,0.011,90,378607281313491328,4.58155546517,0.4772,36.78504269016,0.3879,23.7944,0.5952,-65.356,0.763,-43.655,0.684,1,2.96167e+08,4.16772e+06,4.509526,2.12264e+08,5.84899e+05,4.534197,1.35625e+08,1.39497e+06,4.431067,0.103131,,,0,9583.67,0.3820,0.1830,,,4.5816667,36.7851111,sig And,,00 18 19.60,+36 47 06.4,A2V,8780,2.0,155,14.9,,,0.19,41.32,,Y,TYC,WISEA,Simbad
1.159950,4.6088480113408,-63.4774948005543,0.001,0.001,90,4901229043960053248,4.60971642938,0.0261,-63.47774960730,0.0254,23.2720,0.0297,90.067,0.055,-59.180,0.054,0,2.21205e+07,8.08582e+03,7.326380,1.22810e+07,2.02928e+04,7.628304,1.36740e+07,2.56084e+04,6.922180,0.706124,6.32,0.33,17,6114.50,0.0520,0.0260,1.12,1.589,4.6094583,-63.4776667,HD 1466,,00 18 26.27,-63 28 39.6,F8V,6140,1.06,140,4.7,,,1.68,41.54,,Y,TYC,WISEA,Simbad
4.768853,4.6744473809102,-8.0530016050407,0.002,0.001,90,2430102808294101760,4.67626447120,0.0473,-8.05362060781,0.0273,42.6090,0.0557,417.875,0.098,-143.768,0.054,0,5.74473e+07,1.42701e+04,6.290191,3.01990e+07,4.80731e+04,6.651405,3.78098e+07,6.44841e+04,5.817908,0.833497,-10.16,0.18,13,5764.50,0.2218,0.0885,1.12,1.251,4.6757083,-8.0534444,HD 1461,,00 18 42.17,-08 03 12.4,G3V,5880,1.07,65,20.5,,,0.5,23.24,,Y,TYC,WISEA,Simbad
0.076319,5.7157847162196,-12.2094367708036,0.002,0.001,90,2423493369021649920,5.71752259024,0.0420,-12.20917389555,0.0288,46.9258,0.0508,394.506,0.120,61.056,0.059,0,6.09903e+07,4.10236e+04,6.225214,3.23068e+07,6.55902e+04,6.578154,4.02581e+07,7.41806e+04,5.749787,0.828366,-2.34,0.16,12,5760.90,0.1057,0.0540,1.05,1.095,5.7157917,-12.2094167,9 Cet,,00 22 51.79,-12 12 33.9,G3V,5920,0.95,40,48.5,,,0.09,20.86,,Y,TYC,WISEA,Simbad
1.471292,6.5508351465860,-43.6798318626811,0.010,0.009,0,4992538055807707776,6.55147204082,0.4092,-43.67969059911,0.3332,44.9157,0.4504,106.980,0.608,32.810,0.632,1,5.50371e+08,1.94746e+06,3.836727,3.44286e+08,1.06975e+06,4.009089,2.53309e+08,6.57990e+05,3.752794,0.256295,,,0,7320.00,0.4920,0.2510,2.03,10.682,6.5513333,-43.6796389,kap Phe,,00 26 12.32,-43 40 46.7,A5IV,8010,1.76,170,9.0,,,0.18,23.8,,Y,TYC,WISEA,Simbad
0.078460,7.8540916687275,-48.8035210859926,0.004,0.004,0,4975414983273644032,7.85500649617,0.1468,-48.80342948751,0.1516,17.8163,0.2228,139.946,0.241,21.275,0.287,1,2.50876e+08,8.45182e+05,4.689719,1.72245e+08,1.80552e+05,4.761025,1.02487e+08,2.95154e+05,4.735244,0.025781,,,0,9278.50,0.1723,0.0747,,,7.8540833,-48.8035,HD 2834,,00 31 24.98,-48 48 12.6,A1V,8950,2.24,95,46.3,,,0.17,52.96,,Y,TYC,WISEA,Simbad
0.195046,7.9431206753450,54.5222306630827,0.009,0.008,90,418090121095577216,7.94343932516,0.3164,54.52218117823,0.3519,10.6834,0.4524,42.954,0.548,-11.493,0.529,1,2.73565e+08,8.57948e+05,4.595717,1.86973e+08,1.78982e+05,4.671942,9.86105e+07,4.15886e+05,4.777112,-0.105170,,,0,9172.33,0.2093,0.1060,,,7.9431667,54.5222778,HD 2772,,00 31 46.36,+54 31 20.2,B8V,12230,3.5,400,7.6,35,995.02,2.29,115.74,,N,TYC,WISEA,Simbad
