# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Apr  7 15:55:03 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01 -0.17553 10.00000 0.0900000036 1.0816895962    0.090 -3.387  3.3785  5.246    1  0.000  0.545     0.00     0.00 -1  -4.1e-17      0.00 7.217e-01 2.683e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 13.238 15.087 18.152 13.730
0.01 -0.17553 10.00000 0.0938181132 1.1172884703    0.094 -3.310  3.3897  5.231    1  0.000  0.545     0.00     0.00 -1 -4.87e-17      0.00 7.215e-01 2.685e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 13.046 14.895 17.954 13.538
0.01 -0.17553 10.00000 0.1000000015 1.1711064577    0.100 -3.193  3.4068  5.210    1  0.000  0.545     0.00     0.00 -1 -6.34e-17      0.00 7.212e-01 2.688e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.752 14.600 17.650 13.244
0.01 -0.17553 10.00000 0.1200000048 1.3193155527    0.120 -2.926  3.4410  5.158    1  0.000  0.545     0.00     0.00 -1 -1.14e-16      0.00 7.202e-01 2.698e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.084 13.660 16.211 12.352
0.01 -0.17553 10.00000 0.1400000006 1.4384527206    0.140 -2.744  3.4599  5.120    1  0.000  0.545     0.00     0.00 -1 -1.67e-16      0.00 7.194e-01 2.706e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.631 12.999 15.193 11.737
0.01 -0.17553 10.00000 0.1549638361 1.5139793158    0.155 -2.636  3.4702  5.097    1  0.000  0.545     0.00     0.00 -1 -2.09e-16      0.00 7.188e-01 2.712e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.359 12.621 14.638 11.386
0.01 -0.17553 10.00000 0.1599999964 1.5372931957    0.160 -2.601  3.4735  5.090    1  0.000  0.545     0.00     0.00 -1 -2.25e-16      0.00 7.186e-01 2.714e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.274 12.503 14.467 11.277
0.01 -0.17553 10.00000 0.1710740924 1.5853601694    0.171 -2.535  3.4791  5.075    1  0.000  0.545     0.00     0.00 -1 -2.58e-16      0.00 7.182e-01 2.718e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.107 12.279 14.152 11.070
0.01 -0.17553 10.00000 0.2000000030 1.6938791275    0.200 -2.380  3.4923  5.040    1  0.000  0.545     0.00     0.00 -1 -3.54e-16      0.00 7.174e-01 2.726e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.720 11.762 13.433 10.593
0.01 -0.17553 10.00000 0.2500000000 1.8403258324    0.250 -2.171  3.5067  4.986    1  0.000  0.545     0.00     0.00 -1 -1.56e-16      0.00 7.166e-01 2.734e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.198 11.119 12.616 9.993
