# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Dec 18 17:05:29 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.03 0.33631 10.00000 0.1000000015 1.1711064577    0.100 -3.279  3.3685  5.143    1  0.000  0.545     0.00     0.00 -1 -7.21e-18      0.00 6.665e-01 3.035e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.967 14.991 17.876 13.637
0.03 0.33631 10.00000 0.1144360155 1.2814995050    0.114 -3.106  3.3888  5.109    1  0.000  0.545     0.00     0.00 -1 -3.34e-17      0.00 6.661e-01 3.039e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.534 14.557 17.431 13.205
0.03 0.33631 10.00000 0.1199999973 1.3193154335    0.120 -3.045  3.3959  5.098    1  0.000  0.545     0.00     0.00 -1 -4.12e-17      0.00 6.659e-01 3.041e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.382 14.405 17.274 13.052
0.03 0.33631 10.00000 0.1400000006 1.4384527206    0.140 -2.870  3.4145  5.064    1  0.000  0.545     0.00     0.00 -1 -1.33e-16      0.00 6.653e-01 3.047e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 11.946 13.967 16.825 12.616
0.03 0.33631 10.00000 0.1599999964 1.5372931957    0.160 -2.729  3.4286  5.038    1  0.000  0.545     0.00     0.00 -1 -1.32e-16      0.00 6.648e-01 3.052e-01 5.395e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 11.593 13.463 16.093 12.135
0.03 0.33631 10.00000 0.2000000030 1.6938791275    0.200 -2.500  3.4511  4.995    1  0.000  0.545     0.00     0.00 -1 -8.87e-17      0.00 6.637e-01 3.063e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 11.021 12.611 14.866 11.332
0.03 0.33631 10.00000 0.2500000000 1.8403258324    0.250 -2.290  3.4671  4.946    1  0.000  0.545     0.00     0.00 -1  -2.7e-16      0.00 6.629e-01 3.071e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 10.495 11.904 13.919 10.663
0.03 0.33631 10.00000 0.3112798035 1.9749667645    0.311 -2.083  3.4819  4.894    1  0.000  0.545     0.00     0.00 -1 -6.22e-16      0.00 6.639e-01 3.061e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.977 11.237 13.060 10.031
0.03 0.33631 10.00000 0.3371093273 2.0217695236    0.337 -2.006  3.4873  4.873    1  0.000  0.545     0.00     0.00 -1 -7.81e-16      0.00 6.665e-01 3.035e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.785 10.993 12.749 9.801
0.03 0.33631 10.00000 0.3499999940 2.0434174538    0.350 -1.969  3.4898  4.863    1  0.000  0.545     0.00     0.00 -1 -8.44e-16      0.00 6.676e-01 3.024e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.694 10.877 12.602 9.692
0.03 0.33631 10.00000 0.4000000060 2.1185026169    0.400 -1.829  3.5012  4.826    1  0.000  0.545     0.00     0.00 -1 -1.14e-15      0.00 6.679e-01 3.021e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.343 10.436 12.052 9.275
0.03 0.33631 10.00000 0.4154882431 2.1393203735    0.415 -1.782  3.5055  4.812    1  0.000  0.545     0.00     0.00 -1 -1.26e-15      0.00 6.679e-01 3.021e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.226 10.287 11.866 9.136
0.03 0.33631 10.00000 0.4500000179 2.1822810173    0.450 -1.684  3.5144  4.784    1  0.000  0.545     0.00     0.00 -1 -1.57e-15      0.00 6.679e-01 3.021e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 8.980 9.976 11.477 8.845
0.03 0.33631 10.00000 0.5000000596 2.2374544144    0.500 -1.536  3.5285  4.739    1  0.000  0.545     0.00     0.00 -1 -2.21e-15      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 8.611 9.515 10.911 8.415
0.03 0.33631 10.00000 0.5468103886 2.2809998989    0.546 -1.383  3.5439  4.686    1  0.000  0.545     0.00     0.00 -1 -3.19e-15      0.00 6.889e-01 2.829e-01 5.071e-03 1.368e-03 1.241e-02 -1.000 2.817e-02 8.227 9.042 10.339 7.974
0.03 0.33631 10.00000 0.5500000119 2.2836582661    0.550 -1.373  3.5450  4.683    1  0.000  0.545     0.00     0.00 -1 -3.27e-15      0.00 6.904e-01 2.816e-01 5.048e-03 1.362e-03 1.236e-02 -1.000 2.805e-02 8.202 9.011 10.302 7.945
0.03 0.33631 10.00000 0.6000000238 2.3211214542    0.600 -1.210  3.5671  4.646    1  0.000  0.545     0.00     0.00 -1 -4.76e-15      0.00 6.937e-01 2.784e-01 4.999e-03 1.349e-03 1.224e-02 -1.000 2.780e-02 7.794 8.457 9.593 7.450
0.03 0.33631 10.00000 0.6499999762 2.3520355225    0.650 -1.039  3.5954  4.624    1  0.000  0.544     0.00     0.00 -1 -6.94e-15      0.00 6.968e-01 2.756e-01 4.955e-03 1.337e-03 1.214e-02 -1.000 2.755e-02 7.368 7.849 8.803 6.922
