# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb  7 15:19:58 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.05 0.59589 10.00000 0.1000000015 1.1711064577    0.100 -3.264  3.3645  5.112    1  0.000  0.545     0.00     0.00 -1 -6.03e-17      0.00 6.072e-01 3.418e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 12.929 14.995 17.860 13.641
0.05 0.59589 10.00000 0.1166644469 1.2969263792    0.117 -3.083  3.3840  5.076    1  0.000  0.545     0.00     0.00 -1 -8.81e-17      0.00 6.068e-01 3.422e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 12.478 14.542 17.396 13.189
0.05 0.59589 10.00000 0.1199999973 1.3193154335    0.120 -3.050  3.3876  5.070    1  0.000  0.545     0.00     0.00 -1 -9.44e-17      0.00 6.067e-01 3.423e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 12.395 14.460 17.311 13.107
0.05 0.59589 10.00000 0.1400000006 1.4384527206    0.140 -2.887  3.4036  5.038    1  0.000  0.545     0.00     0.00 -1 -6.96e-18      0.00 6.061e-01 3.429e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.988 14.052 16.892 12.699
0.05 0.59589 10.00000 0.1599999964 1.5372931957    0.160 -2.755  3.4155  5.011    1  0.000  0.545     0.00     0.00 -1 -1.25e-16      0.00 6.057e-01 3.433e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.658 13.716 16.542 12.365
0.05 0.59589 10.00000 0.2000000030 1.6938791275    0.200 -2.537  3.4348  4.968    1  0.000  0.545     0.00     0.00 -1 -2.68e-16      0.00 6.049e-01 3.441e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.114 12.942 15.441 11.627
0.05 0.59589 10.00000 0.2500000000 1.8403258324    0.250 -2.315  3.4543  4.920    1  0.000  0.545     0.00     0.00 -1 -1.43e-18      0.00 6.043e-01 3.447e-01 9.172e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 10.558 12.148 14.334 10.876
0.05 0.59589 10.00000 0.3000000417 1.9529141188    0.300 -2.144  3.4672  4.879    1  0.000  0.545     0.00     0.00 -1 -5.98e-16      0.00 6.041e-01 3.449e-01 9.172e-03 2.475e-03 2.244e-02 -1.000 5.104e-02 10.129 11.575 13.577 10.333
0.05 0.59589 10.00000 0.3499999940 2.0434174538    0.350 -1.992  3.4791  4.842    1  0.000  0.545     0.00     0.00 -1  -8.2e-16      0.00 6.084e-01 3.406e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 9.750 11.076 12.932 9.861
0.05 0.59589 10.00000 0.3617003262 2.0621876717    0.362 -1.956  3.4825  4.834    1  0.000  0.545     0.00     0.00 -1 -8.85e-16      0.00 6.084e-01 3.406e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 9.660 10.953 12.769 9.746
0.05 0.59589 10.00000 0.4000000060 2.1185026169    0.400 -1.845  3.4930  4.809    1  0.000  0.545     0.00     0.00 -1 -1.12e-15      0.00 6.086e-01 3.404e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 9.383 10.583 12.287 9.401
0.05 0.59589 10.00000 0.4500000179 2.1822810173    0.450 -1.699  3.5072  4.771    1  0.000  0.545     0.00     0.00 -1 -1.54e-15      0.00 6.086e-01 3.404e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 9.018 10.114 11.699 8.959
