# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 18 13:43:04 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.00000 0.0900000036 1.0816895962    0.090 -1.321  3.4419  3.433    0  0.000  0.545     0.00     0.00 -1 -3.88e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.073 9.726 11.943 8.452
0.0152 0.01508 6.00000 0.1000000015 1.1711064577    0.100 -1.221  3.4494  3.408    0  0.000  0.545     0.00     0.00 -1 -4.77e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.822 9.402 11.533 8.142
0.0152 0.01508 6.00000 0.1098617315 1.2485735416    0.110 -1.138  3.4554  3.390    0  0.000  0.545     0.00     0.00 -1 -5.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.615 9.141 11.209 7.891
0.0152 0.01508 6.00000 0.1200000122 1.3193155527    0.120 -1.057  3.4612  3.371    0  0.000  0.545     0.00     0.00 -1 -6.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.413 8.893 10.905 7.651
0.0152 0.01508 6.00000 0.1354001611 1.4130985737    0.135 -0.953  3.4689  3.350    0  0.000  0.545     0.00     0.00 -1 -8.14e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.152 8.577 10.527 7.347
0.0152 0.01508 6.00000 0.1400000006 1.4384527206    0.140 -0.924  3.4710  3.344    0  0.000  0.545     0.00     0.00 -1  -8.6e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.081 8.492 10.426 7.266
0.0152 0.01508 6.00000 0.1473688781 1.4768916368    0.147 -0.885  3.4742  3.340    0  0.000  0.545     0.00     0.00 -1 -9.22e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.982 8.373 10.281 7.150
0.0152 0.01508 6.00000 0.1649024487 1.5590895414    0.165 -0.809  3.4809  3.340    0  0.000  0.545     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.793 8.140 9.996 6.928
0.0152 0.01508 6.00000 0.1705176234 1.5830422640    0.170 -0.798  3.4826  3.350    0  0.000  0.545     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.765 8.097 9.938 6.889
0.0152 0.01508 6.00000 0.1760640442 1.6057158709    0.176 -0.776  3.4849  3.351    0  0.000  0.545     0.00     0.00 -1 -1.07e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.710 8.028 9.849 6.823
0.0152 0.01508 6.00000 0.1806975752 1.6239571571    0.181 -0.751  3.4871  3.346    0  0.000  0.545     0.00     0.00 -1 -1.12e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.648 7.953 9.758 6.752
0.0152 0.01508 6.00000 0.1863482147 1.6453964710    0.186 -0.717  3.4900  3.337    0  0.000  0.545     0.00     0.00 -1 -1.21e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.561 7.852 9.638 6.655
0.0152 0.01508 6.00000 0.1950441152 1.6767902374    0.195 -0.661  3.4944  3.318    0  0.000  0.545     0.00     0.00 -1 -1.38e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.422 7.697 9.461 6.505
0.0152 0.01508 6.00000 0.2051213235 1.7109696865    0.205 -0.635  3.4973  3.327    0  0.000  0.545     0.00     0.00 -1 -1.41e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.359 7.615 9.359 6.428
0.0152 0.01508 6.00000 0.2146187723 1.7412416935    0.215 -0.635  3.4990  3.353    0  0.000  0.545     0.00     0.00 -1 -1.34e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.358 7.596 9.320 6.413
0.0152 0.01508 6.00000 0.2241051644 1.7697881460    0.224 -0.625  3.5015  3.371    0  0.000  0.545     0.00     0.00 -1 -1.31e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.332 7.549 9.252 6.372
0.0152 0.01508 6.00000 0.2335195690 1.7966058254    0.234 -0.601  3.5047  3.378    0  0.000  0.545     0.00     0.00 -1 -1.35e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.272 7.470 9.149 6.298
0.0152 0.01508 6.00000 0.2428210378 1.8217558861    0.243 -0.563  3.5086  3.373    0  0.000  0.545     0.00     0.00 -1 -1.45e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.177 7.355 9.010 6.189
0.0152 0.01508 6.00000 0.2590910494 1.8628706932    0.259 -0.513  3.5141  3.373    0  0.000  0.545     0.00     0.00 -1 -1.58e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.053 7.200 8.815 6.043
0.0152 0.01508 6.00000 0.2748019695 1.8995058537    0.275 -0.501  3.5173  3.400    0  0.000  0.545     0.00     0.00 -1 -1.53e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.023 7.140 8.723 5.992
0.0152 0.01508 6.00000 0.2906001210 1.9336966276    0.290 -0.491  3.5208  3.427    0  0.000  0.545     0.00     0.00 -1 -1.47e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.996 7.081 8.628 5.943
0.0152 0.01508 6.00000 0.3151578009 1.9823096991    0.315 -0.455  3.5271  3.452    0  0.000  0.545     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.908 6.942 8.427 5.820
0.0152 0.01508 6.00000 0.3399681151 2.0266623497    0.340 -0.425  3.5330  3.478    0  0.000  0.545     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.832 6.818 8.246 5.712
0.0152 0.01508 6.00000 0.3527808189 2.0479519367    0.353 -0.412  3.5359  3.493    0  0.000  0.545     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.800 6.762 8.163 5.665
0.0152 0.01508 6.00000 0.3855731785 2.0981462002    0.386 -0.363  3.5444  3.516    0  0.000  0.545     0.00     0.00 -1 -1.55e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.677 6.577 7.905 5.504
0.0152 0.01508 6.00000 0.4027824402 2.1223189831    0.403 -0.341  3.5485  3.530    0  0.000  0.545     0.00     0.00 -1 -1.57e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.622 6.491 7.782 5.430
