# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Apr 21 16:18:15 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.003 -0.70993 8.00000 0.0900000036 1.0816895962    0.090 -2.668  3.4683  4.885    0  0.000  0.545     0.00     0.00 -1 -3.29e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 11.440 12.557 14.527 11.332
0.003 -0.70993 8.00000 0.0948722512 1.1267863512    0.095 -2.629  3.4734  4.890    0  0.000  0.545     0.00     0.00 -1 -3.48e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 11.343 12.418 14.305 11.207
0.003 -0.70993 8.00000 0.0996598005 1.1682583094    0.100 -2.591  3.4786  4.893    0  0.000  0.545     0.00     0.00 -1 -3.69e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 11.247 12.278 14.081 11.083
0.003 -0.70993 8.00000 0.1034680977 1.1994403601    0.103 -2.565  3.4817  4.896    0  0.000  0.545     0.00     0.00 -1 -3.84e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 11.182 12.187 13.941 11.001
0.003 -0.70993 8.00000 0.1125475615 1.2681173086    0.112 -2.503  3.4891  4.901    0  0.000  0.545     0.00     0.00 -1 -4.22e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 11.028 11.969 13.609 10.808
0.003 -0.70993 8.00000 0.1189794093 1.3125517368    0.119 -2.461  3.4945  4.904    0  0.000  0.545     0.00     0.00 -1  -4.5e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 10.923 11.822 13.392 10.678
0.003 -0.70993 8.00000 0.1290565133 1.3762346506    0.129 -2.404  3.5009  4.908    0  0.000  0.545     0.00     0.00 -1 -4.91e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 10.780 11.631 13.122 10.507
0.003 -0.70993 8.00000 0.1382990181 1.4292048216    0.138 -2.355  3.5067  4.912    0  0.000  0.545     0.00     0.00 -1  -5.3e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 10.657 11.466 12.893 10.359
0.003 -0.70993 8.00000 0.1576186419 1.5263899565    0.157 -2.263  3.5163  4.916    0  0.000  0.545     0.00     0.00 -1 -6.09e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 10.428 11.169 12.496 10.092
0.003 -0.70993 8.00000 0.1597642154 1.5362230539    0.160 -2.254  3.5171  4.916    0  0.000  0.545     0.00     0.00 -1 -6.18e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 10.406 11.140 12.459 10.066
0.003 -0.70993 8.00000 0.1962578595 1.6810272932    0.196 -2.111  3.5307  4.916    0  0.000  0.545     0.00     0.00 -1 -7.74e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 10.048 10.694 11.895 9.660
0.003 -0.70993 8.00000 0.2114679664 1.7313951254    0.211 -2.062  3.5350  4.916    0  0.000  0.545     0.00     0.00 -1 -8.36e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 9.924 10.545 11.715 9.522
0.003 -0.70993 8.00000 0.2445568740 1.8263108730    0.244 -1.962  3.5432  4.912    0  0.000  0.545     0.00     0.00 -1 -9.83e-16      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 9.674 10.247 11.358 9.247
0.003 -0.70993 8.00000 0.2928559184 1.9383814335    0.292 -1.835  3.5533  4.904    0  0.000  0.545     0.00     0.00 -1 -1.21e-15      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 9.359 9.876 10.921 8.903
0.003 -0.70993 8.00000 0.3411549032 2.0286779404    0.341 -1.711  3.5632  4.886    0  0.000  0.545     0.00     0.00 -1 -1.52e-15      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 9.048 9.515 10.502 8.568
0.003 -0.70993 8.00000 0.3507224619 2.0446000099    0.350 -1.684  3.5656  4.881    0  0.000  0.545     0.00     0.00 -1 -1.61e-15      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 8.980 9.435 10.408 8.494
0.003 -0.70993 8.00000 0.3894539475 2.1037180424    0.389 -1.573  3.5748  4.852    0  0.000  0.545     0.00     0.00 -1 -2.04e-15      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 8.703 9.115 10.040 8.198
0.003 -0.70993 8.00000 0.4377529919 2.1675412655    0.437 -1.416  3.5913  4.812    0  0.000  0.545     0.00     0.00 -1 -2.88e-15      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 8.310 8.654 9.503 7.775
0.003 -0.70993 8.00000 0.4860519767 2.2228093147    0.485 -1.244  3.6147  4.780    0  0.000  0.545     0.00     0.00 -1 -4.22e-15      0.00 7.424e-01 2.544e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 7.881 8.142 8.895 7.318
0.003 -0.70993 8.00000 0.5014047623 2.2388978004    0.501 -1.192  3.6249  4.781    0  0.000  0.545     0.00     0.00 -1 -4.68e-15      0.00 7.424e-01 2.544e-01 5.699e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 7.751 7.978 8.691 7.178
0.003 -0.70993 8.00000 0.5273329616 2.2639598846    0.527 -1.129  3.6352  4.781    0  0.000  0.545     0.00     0.00 -1 -5.28e-15      0.00 7.425e-01 2.543e-01 5.698e-04 1.537e-04 1.394e-03 -1.000 3.170e-03 7.593 7.786 8.457 7.012
0.003 -0.70993 8.00000 0.5343510509 2.2702643871    0.534 -1.114  3.6371  4.780    0  0.000  0.545     0.00     0.00 -1 -5.43e-15      0.00 7.425e-01 2.543e-01 5.697e-04 1.537e-04 1.394e-03 -1.000 3.170e-03 7.556 7.743 8.407 6.974
0.003 -0.70993 8.00000 0.5395199656 2.2747874260    0.539 -1.104  3.6387  4.780    0  0.000  0.545     0.00     0.00 -1 -5.53e-15      0.00 7.425e-01 2.543e-01 5.697e-04 1.537e-04 1.394e-03 -1.000 3.170e-03 7.530 7.711 8.369 6.946
0.003 -0.70993 8.00000 0.5710756779 2.3003697395    0.570 -1.018  3.6508  4.767    0  0.000  0.545     0.00     0.00 -1 -6.62e-15      0.00 7.426e-01 2.542e-01 5.696e-04 1.537e-04 1.394e-03 -1.000 3.170e-03 7.315 7.453 8.060 6.723
0.003 -0.70993 8.00000 0.5826500058 2.3089582920    0.582 -0.979  3.6569  4.761    0  0.000  0.545     0.00     0.00 -1 -7.22e-15      0.00 7.426e-01 2.542e-01 5.696e-04 1.537e-04 1.394e-03 -1.000 3.170e-03 7.217 7.332 7.915 6.620
0.003 -0.70993 8.00000 0.6309490204 2.3409202099    0.630 -0.817  3.6833  4.740    0  0.000  0.545     0.00     0.00 -1 -1.03e-14      0.00 7.427e-01 2.541e-01 5.694e-04 1.536e-04 1.393e-03 -1.000 3.170e-03 6.812 6.845 7.337 6.202
0.003 -0.70993 8.00000 0.6792480946 2.3677127361    0.679 -0.665  3.7077  4.717    0  0.000  0.545     0.00     0.00 -1 -1.45e-14      0.00 7.428e-01 2.541e-01 5.693e-04 1.536e-04 1.393e-03 -1.000 3.143e-03 6.432 6.407 6.831 5.820
0.003 -0.70993 8.00000 0.7266871333 2.3900814056    0.726 -0.525  3.7304  4.697    0  0.000  0.541     0.00     0.00 -1 -1.98e-14      0.00 7.428e-01 2.540e-01 5.638e-04 1.534e-04 1.393e-03 -1.000 3.168e-03 6.081 6.020 6.391 5.481
0.003 -0.70993 8.00000 0.7282599211 2.3907656670    0.728 -0.520  3.7311  4.697    0  0.000  0.541     0.00     0.00 -1 -1.99e-14      0.00 7.428e-01 2.540e-01 5.636e-04 1.534e-04 1.393e-03 -1.000 3.170e-03 6.070 6.008 6.377 5.471
0.003 -0.70993 8.00000 0.7772717476 2.4105079174    0.777 -0.389  3.7518  4.676    0  0.000  0.538     0.00     0.00 -1 -2.68e-14      0.00 7.429e-01 2.539e-01 5.617e-04 1.533e-04 1.392e-03 -1.000 3.167e-03 5.742 5.663 5.988 5.167
0.003 -0.70993 8.00000 0.8262835741 2.4275813103    0.825 -0.266  3.7689  4.648    0  0.000  0.538     0.00     0.00 -1 -3.56e-14      0.00 7.431e-01 2.537e-01 5.612e-04 1.532e-04 1.392e-03 -1.000 3.162e-03 5.434 5.351 5.641 4.892
0.003 -0.70993 8.00000 0.8752954006 2.4424748421    0.874 -0.149  3.7836  4.615    0  0.000  0.538     0.00     0.00 -1 -4.69e-14      0.00 7.433e-01 2.535e-01 5.608e-04 1.531e-04 1.391e-03 -1.000 3.159e-03 5.143 5.061 5.322 4.633
0.003 -0.70993 8.00000 0.9243072271 2.4555666447    0.923 -0.039  3.7963  4.580    0  0.000  0.538     0.00     0.00 -1 -6.13e-14      0.00 7.437e-01 2.531e-01 5.600e-04 1.529e-04 1.389e-03 -1.000 3.152e-03 4.868 4.789 5.026 4.388
0.003 -0.70993 8.00000 0.9733190536 2.4671540260    0.973  0.066  3.8080  4.543    0  0.000  0.538     0.00     0.00 -1 -7.95e-14      0.00 7.438e-01 2.530e-01 5.600e-04 1.529e-04 1.389e-03 -1.000 3.158e-03 4.604 4.529 4.746 4.154
0.003 -0.70993 8.00000 1.0223307610 2.4774727821    1.021  0.166  3.8191  4.509    0  0.000  0.538     0.00     0.00 -1 -9.72e-14      0.00 7.439e-01 2.530e-01 5.600e-04 1.529e-04 1.389e-03 -1.000 3.161e-03 4.354 4.283 4.482 3.932
