# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Oct 14 18:56:01 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 9.00000 0.0900000036 1.0816895962    0.090 -3.384  3.3657  5.191    0  0.000  0.545     0.00     0.00 -1 -4.43e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.230 15.180 18.194 13.822
0.0152 0.01508 9.00000 0.1000000015 1.1711064577    0.100 -3.222  3.3893  5.170    0  0.000  0.545     0.00     0.00 -1 -6.24e-17      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.826 14.775 17.781 13.418
0.0152 0.01508 9.00000 0.1200000122 1.3193155527    0.120 -2.975  3.4228  5.135    0  0.000  0.545     0.00     0.00 -1 -1.05e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.208 14.085 16.963 12.740
0.0152 0.01508 9.00000 0.1229623184 1.3385313749    0.123 -2.948  3.4259  5.131    0  0.000  0.545     0.00     0.00 -1  -1.1e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.140 13.976 16.786 12.638
0.0152 0.01508 9.00000 0.1400000006 1.4384527206    0.140 -2.794  3.4430  5.102    0  0.000  0.545     0.00     0.00 -1 -1.52e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.755 13.381 15.865 12.079
0.0152 0.01508 9.00000 0.1493837237 1.4869687557    0.149 -2.726  3.4495  5.088    0  0.000  0.545     0.00     0.00 -1 -1.75e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.585 13.133 15.500 11.845
0.0152 0.01508 9.00000 0.1599999964 1.5372931957    0.160 -2.653  3.4565  5.073    0  0.000  0.545     0.00     0.00 -1 -2.03e-16      0.00 7.088e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.403 12.870 15.108 11.600
0.0152 0.01508 9.00000 0.2000000030 1.6938791275    0.200 -2.438  3.4752  5.030    0  0.000  0.545     0.00     0.00 -1 -3.14e-16      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.865 12.128 14.061 10.907
0.0152 0.01508 9.00000 0.2500000000 1.8403258324    0.250 -2.236  3.4916  4.991    0  0.000  0.545     0.00     0.00 -1 -4.67e-16      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.360 11.455 13.147 10.281
0.0152 0.01508 9.00000 0.3135805130 1.9793373346    0.314 -2.035  3.5051  4.941    0  0.000  0.545     0.00     0.00 -1 -7.02e-16      0.00 7.089e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.856 10.838 12.379 9.701
