# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Apr 22 16:51:38 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.005 -0.48482 9.00000 0.0900000036 1.0816895962    0.090 -3.299  3.4077  5.274    0  0.000  0.545     0.00     0.00 -1  -4.9e-17      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 13.016 14.672 17.753 13.319
0.005 -0.48482 9.00000 0.0947372615 1.1255778074    0.095 -3.213  3.4201  5.260    0  0.000  0.545     0.00     0.00 -1 -5.91e-17      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 12.802 14.432 17.446 13.085
0.005 -0.48482 9.00000 0.1000000015 1.1711064577    0.100 -3.117  3.4344  5.244    0  0.000  0.545     0.00     0.00 -1 -7.29e-17      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 12.562 14.056 16.756 12.736
0.005 -0.48482 9.00000 0.1010182649 1.1795564890    0.101 -3.103  3.4361  5.241    0  0.000  0.545     0.00     0.00 -1 -7.51e-17      0.00 7.370e-01 2.579e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 12.527 14.006 16.673 12.689
0.005 -0.48482 9.00000 0.1199999973 1.3193154335    0.120 -2.854  3.4661  5.187    0  0.000  0.545     0.00     0.00 -1  -1.3e-16      0.00 7.370e-01 2.579e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 11.905 13.109 15.202 11.864
0.005 -0.48482 9.00000 0.1400000006 1.4384527206    0.140 -2.670  3.4854  5.147    0  0.000  0.545     0.00     0.00 -1 -1.92e-16      0.00 7.369e-01 2.580e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 11.444 12.473 14.237 11.286
0.005 -0.48482 9.00000 0.1454896331 1.4673298597    0.145 -2.629  3.4892  5.138    0  0.000  0.545     0.00     0.00 -1 -2.09e-16      0.00 7.369e-01 2.580e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 11.342 12.337 14.039 11.162
0.005 -0.48482 9.00000 0.1599999964 1.5372931957    0.160 -2.528  3.4985  5.116    0  0.000  0.545     0.00     0.00 -1 -2.58e-16      0.00 7.368e-01 2.581e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 11.090 12.007 13.581 10.862
0.005 -0.48482 9.00000 0.1999999881 1.6938791275    0.200 -2.313  3.5164  5.069    0  0.000  0.545     0.00     0.00 -1    -4e-16      0.00 7.366e-01 2.583e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.552 11.330 12.694 10.243
0.005 -0.48482 9.00000 0.2209041268 1.7603340149    0.221 -2.225  3.5228  5.050    0  0.000  0.545     0.00     0.00 -1 -4.76e-16      0.00 7.366e-01 2.583e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.332 11.065 12.366 9.997
0.005 -0.48482 9.00000 0.2500000000 1.8403258324    0.250 -2.115  3.5308  5.027    0  0.000  0.545     0.00     0.00 -1 -5.92e-16      0.00 7.365e-01 2.584e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 10.058 10.739 11.971 9.694
0.005 -0.48482 9.00000 0.3252009153 2.0007927418    0.325 -1.877  3.5450  4.959    0  0.000  0.545     0.00     0.00 -1  -9.7e-16      0.00 7.370e-01 2.579e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.463 10.060 11.187 9.054
0.005 -0.48482 9.00000 0.3399916887 2.0267024040    0.340 -1.833  3.5475  4.944    0  0.000  0.545     0.00     0.00 -1 -1.07e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.352 9.935 11.045 8.936
0.005 -0.48482 9.00000 0.3499999642 2.0434174538    0.350 -1.807  3.5495  4.939    0  0.000  0.545     0.00     0.00 -1 -1.12e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.287 9.859 10.955 8.865
0.005 -0.48482 9.00000 0.3837505281 2.0955040455    0.384 -1.700  3.5572  4.903    0  0.000  0.545     0.00     0.00 -1 -1.43e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.021 9.552 10.599 8.578
0.005 -0.48482 9.00000 0.3999999762 2.1185023785    0.400 -1.654  3.5606  4.888    0  0.000  0.545     0.00     0.00 -1 -1.58e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.904 9.416 10.443 8.452
0.005 -0.48482 9.00000 0.4054746628 2.1259789467    0.405 -1.634  3.5622  4.881    0  0.000  0.545     0.00     0.00 -1 -1.66e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.856 9.360 10.377 8.400
0.005 -0.48482 9.00000 0.4354859293 2.1647539139    0.435 -1.535  3.5705  4.846    0  0.000  0.545     0.00     0.00 -1  -2.1e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.608 9.069 10.038 8.130
0.005 -0.48482 9.00000 0.4499999881 2.1822810173    0.450 -1.490  3.5745  4.831    0  0.000  0.545     0.00     0.00 -1 -2.33e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.494 8.937 9.886 8.008
0.005 -0.48482 9.00000 0.4999999404 2.2374541759    0.500 -1.317  3.5929  4.778    0  0.000  0.545     0.00     0.00 -1  -3.5e-15      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.063 8.424 9.287 7.539
0.005 -0.48482 9.00000 0.5310543776 2.2673268318    0.531 -1.203  3.6079  4.750    0  0.000  0.545     0.00     0.00 -1 -4.55e-15      0.00 7.394e-01 2.555e-01 9.097e-04 2.454e-04 2.226e-03 -1.000 5.101e-03 7.779 8.083 8.883 7.232
0.005 -0.48482 9.00000 0.5500000119 2.2836582661    0.550 -1.139  3.6174  4.739    0  0.000  0.545     0.00     0.00 -1 -5.26e-15      0.00 7.399e-01 2.550e-01 9.080e-04 2.450e-04 2.222e-03 -1.000 5.100e-03 7.618 7.889 8.651 7.060
