# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Dec 18 17:05:06 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.03 0.33631 10.00000 0.1000000015 1.1711064577    0.100 -3.279  3.3685  5.143    1  0.000  0.545     0.00     0.00 -1 -7.21e-18      0.00 6.665e-01 3.035e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.967 10.823 10.245 9.943 9.505 9.436 9.373 9.277 8.648 8.620 8.574 9.673 9.449 9.212 8.838
0.03 0.33631 10.00000 0.1144360155 1.2814995050    0.114 -3.106  3.3888  5.109    1  0.000  0.545     0.00     0.00 -1 -3.34e-17      0.00 6.661e-01 3.039e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.534 10.391 9.816 9.511 9.073 9.001 8.938 8.842 8.214 8.185 8.140 9.240 9.014 8.778 8.403
0.03 0.33631 10.00000 0.1199999973 1.3193154335    0.120 -3.045  3.3959  5.098    1  0.000  0.545     0.00     0.00 -1 -4.12e-17      0.00 6.659e-01 3.041e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.382 10.239 9.664 9.358 8.921 8.847 8.785 8.689 8.060 8.032 7.987 9.087 8.860 8.625 8.250
0.03 0.33631 10.00000 0.1400000006 1.4384527206    0.140 -2.870  3.4145  5.064    1  0.000  0.545     0.00     0.00 -1 -1.33e-16      0.00 6.653e-01 3.047e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 11.946 9.803 9.231 8.922 8.485 8.408 8.346 8.251 7.622 7.593 7.549 8.650 8.421 8.186 7.812
0.03 0.33631 10.00000 0.1599999964 1.5372931957    0.160 -2.729  3.4286  5.038    1  0.000  0.545     0.00     0.00 -1 -1.32e-16      0.00 6.648e-01 3.052e-01 5.395e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 11.593 9.475 8.906 8.602 8.180 8.093 8.033 7.947 7.330 7.302 7.278 8.335 8.104 7.889 7.520
0.03 0.33631 10.00000 0.2000000030 1.6938791275    0.200 -2.500  3.4511  4.995    1  0.000  0.545     0.00     0.00 -1 -8.87e-17      0.00 6.637e-01 3.063e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 11.021 8.949 8.383 8.092 7.704 7.606 7.553 7.482 6.886 6.861 6.875 7.842 7.614 7.439 7.075
0.03 0.33631 10.00000 0.2500000000 1.8403258324    0.250 -2.290  3.4671  4.946    1  0.000  0.545     0.00     0.00 -1  -2.7e-16      0.00 6.629e-01 3.071e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 10.495 8.459 7.891 7.612 7.249 7.144 7.094 7.032 6.447 6.429 6.473 7.374 7.151 7.001 6.637
0.03 0.33631 10.00000 0.3112798035 1.9749667645    0.311 -2.083  3.4819  4.894    1  0.000  0.545     0.00     0.00 -1 -6.22e-16      0.00 6.639e-01 3.061e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.977 7.975 7.402 7.137 6.799 6.693 6.645 6.589 6.015 6.007 6.075 6.913 6.698 6.569 6.205
0.03 0.33631 10.00000 0.3371093273 2.0217695236    0.337 -2.006  3.4873  4.873    1  0.000  0.545     0.00     0.00 -1 -7.81e-16      0.00 6.665e-01 3.035e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.785 7.796 7.220 6.960 6.631 6.524 6.476 6.421 5.851 5.850 5.928 6.740 6.529 6.406 6.041
0.03 0.33631 10.00000 0.3499999940 2.0434174538    0.350 -1.969  3.4898  4.863    1  0.000  0.545     0.00     0.00 -1 -8.44e-16      0.00 6.676e-01 3.024e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.694 7.711 7.133 6.875 6.551 6.444 6.395 6.341 5.773 5.774 5.857 6.658 6.448 6.328 5.963
0.03 0.33631 10.00000 0.4000000060 2.1185026169    0.400 -1.829  3.5012  4.826    1  0.000  0.545     0.00     0.00 -1 -1.14e-15      0.00 6.679e-01 3.021e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.343 7.385 6.797 6.550 6.250 6.149 6.102 6.053 5.495 5.507 5.602 6.351 6.153 6.047 5.685
0.03 0.33631 10.00000 0.4154882431 2.1393203735    0.415 -1.782  3.5055  4.812    1  0.000  0.545     0.00     0.00 -1 -1.26e-15      0.00 6.679e-01 3.021e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.226 7.278 6.685 6.442 6.151 6.053 6.007 5.958 5.404 5.421 5.520 6.249 6.057 5.955 5.594
0.03 0.33631 10.00000 0.4500000179 2.1822810173    0.450 -1.684  3.5144  4.784    1  0.000  0.545     0.00     0.00 -1 -1.57e-15      0.00 6.679e-01 3.021e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 8.980 7.055 6.451 6.214 5.942 5.852 5.805 5.757 5.212 5.241 5.349 6.034 5.856 5.760 5.402
0.03 0.33631 10.00000 0.5000000596 2.2374544144    0.500 -1.536  3.5285  4.739    1  0.000  0.545     0.00     0.00 -1 -2.21e-15      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 8.611 6.722 6.098 5.871 5.629 5.556 5.510 5.464 4.936 4.982 5.100 5.711 5.561 5.477 5.125
0.03 0.33631 10.00000 0.5468103886 2.2809998989    0.546 -1.383  3.5439  4.686    1  0.000  0.545     0.00     0.00 -1 -3.19e-15      0.00 6.889e-01 2.829e-01 5.071e-03 1.368e-03 1.241e-02 -1.000 2.817e-02 8.227 6.377 5.732 5.514 5.305 5.258 5.212 5.167 4.660 4.724 4.848 5.376 5.263 5.189 4.849
0.03 0.33631 10.00000 0.5500000119 2.2836582661    0.550 -1.373  3.5450  4.683    1  0.000  0.545     0.00     0.00 -1 -3.27e-15      0.00 6.904e-01 2.816e-01 5.048e-03 1.362e-03 1.236e-02 -1.000 2.805e-02 8.202 6.354 5.709 5.491 5.284 5.239 5.192 5.147 4.642 4.708 4.832 5.354 5.244 5.170 4.831
0.03 0.33631 10.00000 0.6000000238 2.3211214542    0.600 -1.210  3.5671  4.646    1  0.000  0.545     0.00     0.00 -1 -4.76e-15      0.00 6.937e-01 2.784e-01 4.999e-03 1.349e-03 1.224e-02 -1.000 2.780e-02 7.794 6.009 5.338 5.137 4.970 4.964 4.915 4.862 4.388 4.481 4.607 5.020 4.969 4.899 4.578
0.03 0.33631 10.00000 0.6499999762 2.3520355225    0.650 -1.039  3.5954  4.624    1  0.000  0.544     0.00     0.00 -1 -6.94e-15      0.00 6.968e-01 2.756e-01 4.955e-03 1.337e-03 1.214e-02 -1.000 2.755e-02 7.368 5.661 4.976 4.807 4.691 4.725 4.679 4.617 4.178 4.295 4.418 4.719 4.731 4.668 4.367
0.03 0.33631 10.00000 0.6999999881 2.3779268265    0.700 -0.870  3.6253  4.607    1  0.000  0.544     0.00     0.00 -1 -1.01e-14      0.00 6.996e-01 2.731e-01 4.916e-03 1.327e-03 1.204e-02 -1.000 2.737e-02 6.946 5.315 4.651 4.517 4.448 4.509 4.472 4.409 3.992 4.123 4.248 4.461 4.516 4.469 4.181
0.03 0.33631 10.00000 0.7264778614 2.3899900913    0.726 -0.776  3.6443  4.604    1  0.000  0.540     0.00     0.00 -1 -1.23e-14      0.00 7.008e-01 2.720e-01 4.863e-03 1.322e-03 1.200e-02 -1.000 2.727e-02 6.711 5.134 4.500 4.388 4.340 4.406 4.374 4.314 3.902 4.038 4.166 4.347 4.412 4.376 4.091
0.03 0.33631 10.00000 0.7500000000 2.3998889923    0.750 -0.695  3.6605  4.602    1  0.000  0.537     0.00     0.00 -1 -1.46e-14      0.00 7.019e-01 2.709e-01 4.817e-03 1.317e-03 1.197e-02 -1.000 2.721e-02 6.507 4.978 4.393 4.291 4.251 4.313 4.286 4.231 3.819 3.957 4.087 4.255 4.319 4.292 4.008
0.03 0.33631 10.00000 0.7509176731 2.4002606869    0.751 -0.692  3.6609  4.601    1  0.000  0.537     0.00     0.00 -1 -1.47e-14      0.00 7.019e-01 2.709e-01 4.816e-03 1.316e-03 1.196e-02 -1.000 2.720e-02 6.500 4.972 4.388 4.287 4.247 4.309 4.282 4.227 3.815 3.953 4.083 4.251 4.314 4.288 4.004
