# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb  7 15:21:04 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.05 0.59589 10.00000 0.1000000015 1.1711064577    0.100 -3.264  3.3645  5.112    1  0.000  0.545     0.00     0.00 -1 -6.03e-17      0.00 6.072e-01 3.418e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 12.929 10.777 10.213 9.898 9.462 9.387 9.322 9.228 8.598 8.566 8.519 9.630 9.399 9.164 8.788
0.05 0.59589 10.00000 0.1166644469 1.2969263792    0.117 -3.083  3.3840  5.076    1  0.000  0.545     0.00     0.00 -1 -8.81e-17      0.00 6.068e-01 3.422e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 12.478 10.327 9.765 9.447 9.011 8.933 8.867 8.774 8.144 8.112 8.066 9.178 8.945 8.710 8.333
0.05 0.59589 10.00000 0.1199999973 1.3193154335    0.120 -3.050  3.3876  5.070    1  0.000  0.545     0.00     0.00 -1 -9.44e-17      0.00 6.067e-01 3.423e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 12.395 10.244 9.683 9.365 8.928 8.850 8.784 8.690 8.061 8.029 7.983 9.095 8.862 8.627 8.250
0.05 0.59589 10.00000 0.1400000006 1.4384527206    0.140 -2.887  3.4036  5.038    1  0.000  0.545     0.00     0.00 -1 -6.96e-18      0.00 6.061e-01 3.429e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.988 9.838 9.279 8.958 8.521 8.440 8.374 8.281 7.651 7.619 7.574 8.688 8.452 8.218 7.841
0.05 0.59589 10.00000 0.1599999964 1.5372931957    0.160 -2.755  3.4155  5.011    1  0.000  0.545     0.00     0.00 -1 -1.25e-16      0.00 6.057e-01 3.433e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.658 9.508 8.951 8.629 8.192 8.108 8.042 7.949 7.320 7.288 7.244 8.357 8.120 7.887 7.510
0.05 0.59589 10.00000 0.2000000030 1.6938791275    0.200 -2.537  3.4348  4.968    1  0.000  0.545     0.00     0.00 -1 -2.68e-16      0.00 6.049e-01 3.441e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.114 8.997 8.445 8.135 7.721 7.624 7.564 7.484 6.870 6.839 6.826 7.871 7.633 7.430 7.060
0.05 0.59589 10.00000 0.2500000000 1.8403258324    0.250 -2.315  3.4543  4.920    1  0.000  0.545     0.00     0.00 -1 -1.43e-18      0.00 6.043e-01 3.447e-01 9.172e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 10.558 8.481 7.930 7.636 7.250 7.144 7.091 7.023 6.425 6.398 6.421 7.386 7.152 6.982 6.614
0.05 0.59589 10.00000 0.3000000417 1.9529141188    0.300 -2.144  3.4672  4.879    1  0.000  0.545     0.00     0.00 -1 -5.98e-16      0.00 6.041e-01 3.449e-01 9.172e-03 2.475e-03 2.244e-02 -1.000 5.104e-02 10.129 8.080 7.525 7.243 6.879 6.770 6.719 6.657 6.069 6.048 6.094 7.004 6.776 6.626 6.258
0.05 0.59589 10.00000 0.3499999940 2.0434174538    0.350 -1.992  3.4791  4.842    1  0.000  0.545     0.00     0.00 -1  -8.2e-16      0.00 6.084e-01 3.406e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 9.750 7.726 7.165 6.896 6.554 6.444 6.396 6.340 5.761 5.748 5.813 6.671 6.450 6.317 5.950
0.05 0.59589 10.00000 0.3617003262 2.0621876717    0.362 -1.956  3.4825  4.834    1  0.000  0.545     0.00     0.00 -1 -8.85e-16      0.00 6.084e-01 3.406e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 9.660 7.644 7.080 6.815 6.479 6.369 6.321 6.266 5.690 5.681 5.751 6.593 6.375 6.246 5.879
