# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Thu Sep 19 14:10:23 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.0152 0.01508 4.00000 0.0900000036 1.0816895962    0.090 -0.510  3.4375  2.604    0  0.000  0.545     0.00     0.00 -1 -6.05e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.044 3.953 3.376 3.060 2.650 2.498 2.449 2.367 1.724 1.684 1.746 2.789 2.503 2.317 1.914
0.0152 0.01508 4.00000 0.1000000015 1.1711064577    0.100 -0.414  3.4418  2.572    0  0.000  0.545     0.00     0.00 -1 -3.83e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.806 3.718 3.123 2.823 2.434 2.286 2.240 2.162 1.522 1.485 1.550 2.573 2.292 2.114 1.712
0.0152 0.01508 4.00000 0.1200000122 1.3193155527    0.120 -0.230  3.4550  2.519    0  0.000  0.545     0.00     0.00 -1 -1.19e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.346 3.277 2.610 2.359 2.043 1.909 1.875 1.808 1.181 1.153 1.225 2.182 1.918 1.767 1.371
0.0152 0.01508 4.00000 0.1400000006 1.4384527206    0.140 -0.054  3.4737  2.485    0  0.000  0.545     0.00     0.00 -1 -1.72e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.905 2.886 2.104 1.897 1.681 1.579 1.558 1.503 0.900 0.888 0.972 1.816 1.590 1.476 1.090
0.0152 0.01508 4.00000 0.1511580795 1.4956978559    0.151  0.030  3.4838  2.474    0  0.000  0.545     0.00     0.00 -1 -2.03e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.695 2.698 1.868 1.675 1.501 1.418 1.402 1.352 0.760 0.757 0.847 1.634 1.430 1.331 0.950
0.0152 0.01508 4.00000 0.1727226079 1.5921695232    0.173  0.171  3.5003  2.457    0  0.000  0.545     0.00     0.00 -1 -2.68e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.342 2.384 1.497 1.314 1.192 1.141 1.128 1.081 0.511 0.527 0.628 1.313 1.154 1.073 0.701
0.0152 0.01508 4.00000 0.1939888149 1.6730782986    0.194  0.295  3.5139  2.438    0  0.000  0.545     0.00     0.00 -1 -3.44e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.033 2.115 1.200 1.014 0.915 0.897 0.882 0.833 0.288 0.324 0.436 1.020 0.910 0.837 0.478
0.0152 0.01508 4.00000 0.2126915455 1.7352414131    0.213  0.385  3.5239  2.429    0  0.000  0.545     0.00     0.00 -1 -4.08e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.809 1.922 0.997 0.808 0.718 0.723 0.704 0.652 0.127 0.180 0.298 0.809 0.736 0.665 0.316
0.0152 0.01508 4.00000 0.2378658652 1.8085167408    0.238  0.493  3.5356  2.416    0  0.000  0.545     0.00     0.00 -1 -5.03e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.537 1.691 0.763 0.571 0.486 0.516 0.491 0.430 -0.071 0.001 0.126 0.557 0.529 0.453 0.119
0.0152 0.01508 4.00000 0.2596095800 1.8641256094    0.260  0.577  3.5444  2.405    0  0.000  0.545     0.00     0.00 -1 -5.91e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.328 1.513 0.588 0.397 0.313 0.360 0.329 0.259 -0.224 -0.138 -0.011 0.371 0.372 0.290 -0.034
