# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 18 13:40:54 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.0152 0.01508 6.00000 0.0900000036 1.0816895962    0.090 -1.321  3.4419  3.433    0  0.000  0.545     0.00     0.00 -1 -3.88e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.073 6.011 5.455 5.121 4.694 4.544 4.490 4.409 3.780 3.749 3.805 4.827 4.548 4.363 3.970
0.0152 0.01508 6.00000 0.1000000015 1.1711064577    0.100 -1.221  3.4494  3.408    0  0.000  0.545     0.00     0.00 -1 -4.77e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.822 5.770 5.208 4.888 4.479 4.332 4.281 4.205 3.582 3.555 3.618 4.608 4.336 4.164 3.772
0.0152 0.01508 6.00000 0.1098617315 1.2485735416    0.110 -1.138  3.4554  3.390    0  0.000  0.545     0.00     0.00 -1 -5.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.615 5.571 5.001 4.693 4.301 4.158 4.109 4.038 3.420 3.397 3.466 4.429 4.162 4.000 3.610
0.0152 0.01508 6.00000 0.1200000122 1.3193155527    0.120 -1.057  3.4612  3.371    0  0.000  0.545     0.00     0.00 -1 -6.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.413 5.378 4.797 4.502 4.128 3.988 3.942 3.874 3.262 3.242 3.316 4.253 3.993 3.840 3.452
0.0152 0.01508 6.00000 0.1354001611 1.4130985737    0.135 -0.953  3.4689  3.350    0  0.000  0.545     0.00     0.00 -1 -8.14e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.152 5.129 4.529 4.250 3.903 3.769 3.727 3.665 3.061 3.046 3.125 4.026 3.774 3.635 3.250
0.0152 0.01508 6.00000 0.1400000006 1.4384527206    0.140 -0.924  3.4710  3.344    0  0.000  0.545     0.00     0.00 -1  -8.6e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.081 5.061 4.455 4.181 3.841 3.709 3.668 3.608 3.005 2.992 3.073 3.963 3.715 3.579 3.195
0.0152 0.01508 6.00000 0.1473688781 1.4768916368    0.147 -0.885  3.4742  3.340    0  0.000  0.545     0.00     0.00 -1 -9.22e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.982 4.969 4.353 4.086 3.757 3.628 3.589 3.530 2.931 2.921 3.004 3.878 3.634 3.504 3.121
0.0152 0.01508 6.00000 0.1649024487 1.5590895414    0.165 -0.809  3.4809  3.340    0  0.000  0.545     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.793 4.794 4.160 3.904 3.598 3.476 3.439 3.383 2.792 2.788 2.877 3.716 3.482 3.362 2.981
0.0152 0.01508 6.00000 0.1705176234 1.5830422640    0.170 -0.798  3.4826  3.350    0  0.000  0.545     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.765 4.770 4.131 3.878 3.576 3.456 3.419 3.364 2.774 2.773 2.864 3.694 3.462 3.344 2.964
0.0152 0.01508 6.00000 0.1760640442 1.6057158709    0.176 -0.776  3.4849  3.351    0  0.000  0.545     0.00     0.00 -1 -1.07e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.710 4.721 4.075 3.825 3.531 3.413 3.376 3.321 2.735 2.736 2.830 3.646 3.419 3.303 2.924
