#iRMS=9.222171502e-05 0
lk  ukf_wg0v  uks_wg0v fh        fse	fl
1150.0  0.004218  0.000000  0.004218  0.000000  0.000000
1155.0  0.002700  0.000000  0.002700  0.000000  0.000000
1160.0  0.001559  0.000000  0.001559  0.000000  0.000000
1165.0  0.001032  0.000000  0.001032  0.000000  0.000000
1170.0  8.210000  0.000000  0.000821  0.000000  0.000000
1175.0  4.540000  0.000000  0.000454  0.000000  0.000000
1180.0  4.170000  0.000000  0.000417  0.000000  0.000000
1185.0  2.260000  0.000000  0.000226  0.000000  0.000000
1190.0  0.000000  0.000000  0.000000  0.000000  0.000000
1195.0  9.500000  0.000000  0.000095  0.000000  0.000000
1200.0  6.050000  0.000000  0.000605  0.000000  0.000000
1205.0  0.001548  0.000000  0.001548  0.000000  0.000000
1210.0  0.005655  0.000000  0.005655  0.000000  0.000000
1215.0  0.008670  0.000000  0.008670  0.000000  0.000000
1220.0  0.004748  0.000000  0.004748  0.000000  0.000000
1225.0  0.001014  0.000000  0.001014  0.000000  0.000000
1230.0  2.550000  0.000000  0.000255  0.000000  0.000000
1235.0  2.250000  0.000000  0.000225  0.000000  0.000000
1240.0  2.450000  0.000000  0.000245  0.000000  0.000000
1245.0  2.590000  0.000000  0.000259  0.000000  0.000000
1250.0  2.050000  0.000000  0.000205  0.000000  0.000000
1255.0  1.640000  0.000000  0.000164  0.000000  0.000000
1260.0  1.840000  0.000000  0.000184  0.000000  0.000000
1265.0  1.290000  0.000000  0.000129  0.000000  0.000000
1270.0  9.500000  0.000000  0.000095  0.000000  0.000000
1275.0  2.050000  0.000000  0.000205  0.000000  0.000000
1280.0  2.690000  0.000000  0.000269  0.000000  0.000000
1285.0  2.890000  0.000000  0.000289  0.000000  0.000000
1290.0  2.220000  0.000000  0.000222  0.000000  0.000000
1295.0  2.040000  0.000000  0.000204  0.000000  0.000000
1300.0  3.400000  0.000000  0.000340  0.000000  0.000000
1305.0  3.680000  0.000000  0.000368  0.000000  0.000000
1310.0  2.490000  0.000000  0.000249  0.000000  0.000000
1315.0  2.530000  0.000000  0.000253  0.000000  0.000000
1320.0  2.320000  0.000000  0.000232  0.000000  0.000000
1325.0  2.210000  0.000000  0.000221  0.000000  0.000000
1330.0  3.260000  0.000000  0.000326  0.000000  0.000000
1335.0  4.190000  0.000000  0.000419  0.000000  0.000000
1340.0  2.660000  0.000000  0.000266  0.000000  0.000000
1345.0  2.030000  0.000000  0.000203  0.000000  0.000000
1350.0  2.030000  0.000000  0.000203  0.000000  0.000000
1355.0  1.810000  0.000000  0.000181  0.000000  0.000000
1360.0  1.730000  0.000000  0.000173  0.000000  0.000000
1365.0  2.190000  0.000000  0.000219  0.000000  0.000000
